Player,Start Year,Runs,Ave,100's,50's
C Bannerman (AUS),1877,239,59.75,1,0
A Hill (ENG),1877,101,50.5,0,0
WL Murdoch (AUS/ENG),1877,908,31.31,2,1
G Ulyett (ENG),1877,949,24.33,1,7
J Selby (ENG),1877,256,23.27,0,2
TJD Kelly (AUS),1877,64,21.33,0,0
DW Gregory (AUS),1877,60,20,0,0
A Greenwood (ENG),1877,77,19.25,0,0
TP Horan (AUS),1877,471,18.84,1,1
H Jupp (ENG),1877,68,17,0,1
NFD Thomson (AUS),1877,67,16.75,0,0
HRJ Charlwood (ENG),1877,63,15.75,0,0
JM Blackham (AUS),1877,800,15.68,0,4
WE Midwinter (AUS/ENG),1877,269,13.45,0,0
T Emmett (ENG),1877,160,13.33,0,0
TK Kendall (AUS),1877,39,13,0,0
TW Garrett (AUS),1877,339,12.55,0,1
T Armitage (ENG),1877,33,11,0,0
A Shaw (ENG),1877,111,10.09,0,0
FR Spofforth (AUS),1877,217,9.43,0,1
BB Cooper (AUS),1877,18,9,0,0
James Lillywhite jnr (ENG),1877,16,8,0,0
EJ Gregory (AUS),1877,11,5.5,0,0
J Southerton (ENG),1877,7,3.5,0,0
JR Hodges (AUS),1877,10,3.33,0,0
Lord Harris (ENG),1879,145,29,0,1
CA Absolom (ENG),1879,58,29,0,1
AC Bannerman (AUS),1879,1108,23.08,0,8
SS Schultz (ENG),1879,20,20,0,0
AP Lucas (ENG),1879,157,19.62,0,1
HF Boyle (AUS),1879,153,12.75,0,0
VPFA Royle (ENG),1879,21,10.5,0,0
L Hone (ENG),1879,13,6.5,0,0
FE Allan (AUS),1879,5,5,0,0
AN Hornby (ENG),1879,21,3.5,0,0
FA MacKinnon (ENG),1879,5,2.5,0,0
AJ Webbe (ENG),1879,4,2,0,0
F Penn (ENG),1880,50,50,0,0
AG Steel (ENG),1880,600,35.29,2,0
WG Grace (ENG),1880,1098,32.29,2,5
PS McDonnell (AUS),1880,955,28.93,3,2
W Barnes (ENG),1880,725,23.38,1,5
WH Moule (AUS),1880,40,20,0,0
EM Grace (ENG),1880,36,18,0,0
GJ Bonnor (AUS),1880,512,17.06,1,2
Hon.A Lyttelton (ENG),1880,94,15.66,0,0
GE Palmer (AUS),1880,296,14.09,0,0
G Alexander (AUS),1880,52,13,0,0
TU Groube (AUS),1880,11,5.5,0,0
J Slight (AUS),1880,11,5.5,0,0
F Morley (ENG),1880,6,1.5,0,0
GF Grace (ENG),1880,0,0,0,0
A Shrewsbury snr (ENG),1881,1277,35.47,3,4
W Bates (ENG),1881,656,27.33,0,5
G Giffen (AUS),1881,1238,23.35,1,6
RG Barlow (ENG),1881,591,22.73,0,2
WH Scotton (ENG),1881,510,22.17,0,3
HH Massie (AUS),1881,249,15.56,0,1
E Peate (ENG),1881,70,11.66,0,0
E Evans (AUS),1881,82,10.25,0,0
R Pilling (ENG),1881,91,7.58,0,0
WH Cooper (AUS),1881,13,6.5,0,0
G Coulthard (AUS),1882,6,-,0,0
WW Read (ENG),1882,720,27.69,1,5
SP Jones (AUS),1882,428,21.4,0,1
CT Studd (ENG),1882,160,20,0,0
EFS Tylecote (ENG),1882,152,19,0,1
JM Read (ENG),1882,461,17.07,0,2
CFH Leslie (ENG),1882,106,15.14,0,1
GF Vernon (ENG),1882,14,14,0,0
Hon.IFW Bligh (ENG),1882,62,10.33,0,0
