"","delay","carrier"
"1",20,"A"
"2",14,"A"
"3",12,"A"
"4",20,"A"
"5",17,"A"
"6",30,"A"
"7",19,"A"
"8",7,"A"
"9",22,"A"
"10",18,"A"
"11",10,"A"
"12",15,"A"
"13",13,"A"
"14",5,"A"
"15",19,"A"
"16",25,"A"
"17",45,"A"
"18",14,"A"
"19",40,"A"
"20",10,"A"
"21",15,"B"
"22",17,"B"
"23",10,"B"
"24",36,"B"
"25",18,"B"
"26",20,"B"
"27",5,"B"
"28",16,"B"
"29",20,"B"
"30",13,"B"
"31",42,"B"
"32",15,"B"
"33",8,"B"
"34",17,"B"
"35",10,"B"
"36",4,"B"
"37",19,"B"
"38",25,"B"
"39",12,"B"
"40",5,"B"
"41",20,"C"
"42",27,"C"
"43",22,"C"
"44",35,"C"
"45",26,"C"
"46",24,"C"
"47",15,"C"
"48",17,"C"
"49",10,"C"
"50",25,"C"
"51",45,"C"
"52",20,"C"
"53",16,"C"
"54",12,"C"
"55",5,"C"
"56",21,"C"
"57",32,"C"
"58",23,"C"
"59",10,"C"
"60",15,"C"
"61",25,"D"
"62",17,"D"
"63",10,"D"
"64",5,"D"
"65",22,"D"
"66",35,"D"
"67",19,"D"
"68",24,"D"
"69",3,"D"
"70",20,"D"
"71",15,"D"
"72",40,"D"
"73",16,"D"
"74",10,"D"
"75",9,"D"
"76",19,"D"
"77",45,"D"
"78",15,"D"
"79",5,"D"
"80",10,"D"
